X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4	Vyaw	Vpitch	Vroll
-0,09418542	0,521633	0,09084761	-132,5427	-2,842176	0,5130325	0,3111111	0,254376	0,3111111	0,3678463	0,3111111	70	74	79	74	-10,91515152	-4,347424242	99,38847879
-0,09235416	0,5222163	0,0899142	-132,7668	-2,777131	2,372	0,3111111	0,3049753	0,3111111	0,317247	0,3111111	74	74	75	74	-1,43030303	11,4569697	127,4077424
-0,09013874	0,5231062	0,08813728	-132,5899	-2,464096	4,717488	0,3111111	0,2904367	0,3111111	0,3317855	0,3111111	73	74	76	74	13,1	7,623333333	163,3527273
-0,08762208	0,5245101	0,08671311	-132,3345	-2,525561	7,76264	0,3111111	0,2713773	0,3111111	0,3508449	0,3111111	71	74	78	74	7,984848485	0,459181818	149,1755758
-0,08543622	0,5249883	0,08570404	-132,3264	-2,448943	9,640282	0,3111111	0,265593	0,3111111	0,3566292	0,3111111	71	74	78	74	10,73939394	6,588727273	185,3809091
-0,08194407	0,5257825	0,08415454	-131,9801	-2,308133	13,88021	0,3111111	0,2244841	0,3111111	0,3977382	0,3111111	67	74	81	74	7	-0,663333333	275,7875152
-0,07782161	0,5264984	0,08251984	-132,0954	-2,470833	18,74127	0,3111111	0,2690464	0,3111111	0,3531758	0,3111111	71	74	78	74	8,478787879	10,32484848	326,8612121
-0,07364535	0,5265869	0,0804098	-131,7003	-1,967413	24,66663	0,3111111	0,2156163	0,3111111	0,4066059	0,3111111	67	74	82	74	12,67272727	15,22793939	353,9366667
-0,06895394	0,5258991	0,07819487	-131,6772	-1,968311	30,42118	0,3111111	0	0	0	0	50	50	50	50	-13,11818182	-4,592121212	352,2869697
-0,06461649	0,5243842	0,07649335	-132,1332	-2,118953	36,2921	0,3111111	0	0	0	0	50	50	50	50	-27,71515152	1,578727273	331,9
-0,06087961	0,5225704	0,07440746	-132,5918	-1,916213	41,37388	0,3111111	0	0	0	0	50	50	50	50	-41,19090909	12,09521212	286,4239394
-0,05699516	0,5210446	0,07342096	-133,4925	-1,719811	45,74409	0,3111111	0	0	0	0	50	50	50	50	-19,06363636	15,19060606	247,5669697
-0,05349304	0,5188802	0,07144081	-133,2209	-1,414923	49,54359	0,3111111	0	0	0	0	50	50	50	50	15,76060606	5,259939394	207,099697
-0,0511688	0,5168469	0,06995923	-132,9724	-1,546233	52,57838	0,3111111	0	0	0	0	50	50	50	50	26,00606061	-11,89824242	173,0651515
-0,04939966	0,5146213	0,06901359	-132,3627	-1,807565	55,25474	0,3111111	0	0	0	0	50	50	50	50	46,68484848	-17,46675758	130,0563636
-0,04832027	0,5128956	0,06807265	-131,4318	-2,122636	56,87024	0,3111111	0	0	0	0	50	50	50	50	50,5	-23,96581818	72,73484848
-0,0485175	0,5114403	0,06719311	-130,6962	-2,598437	57,65499	0,3111111	0	0	0	0	50	50	50	50	42,24848485	-12,696	26,65060606
-0,04874429	0,5108194	0,06670105	-130,0376	-2,541604	57,74971	0,3111111	0	0	0	0	50	50	50	50	27,74848485	-13,36851515	-10,97848485
-0,04913228	0,5099727	0,06628084	-129,7805	-3,039598	57,2927	0,3111111	0	0	0	0	50	50	50	50	10,21818182	-17,60121212	-28,36121212
-0,0501987	0,5094444	0,06642592	-129,7004	-3,122444	56,81379	0,3111111	0	0	0	0	50	50	50	50	0,687878788	-5,408909091	-43,39909091
