X	Y	Z	Yaw	Pitch	Roll	VYaw	VPitch	VRoll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
-0,2359813	0,3526208	0,3271118	39,45213	15,07237	4,639378	43,20761	16,74973	94,01591	0	0	0	1	0,7726619	0	0	0	0
-0,236407	0,3491771	0,326849	39,37299	15,29984	4,456583	45,09761	18,49878	108,4844	0	0	0	1	0,8998566	0	0	0	0
-0,2366339	0,3467202	0,3264422	39,07272	15,49541	3,867333	41,47635	17,15573	108,5766	0	0	0	1	0,9142085	0	0	0	0
-0,2366384	0,3451299	0,325789	38,55932	15,7741	2,977408	32,12227	15,39335	97,76892	0	0	0	1	0,8237557	0	0	0	0
-0,2361026	0,343859	0,3249099	38,19468	15,60616	2,456414	22,24574	10,3005	77,33813	0	0	0	0,8763863	0,6703762	0	0	0	0
-0,2354416	0,3431715	0,3236178	37,87528	15,43867	1,736333	12,59676	6,725548	50,26222	0	0	0	0,5698777	0,4353667	0	0	0	0
-0,2347035	0,342559	0,3224937	37,88036	15,64734	1,463862	5,513043	4,309979	26,27196	0	0	0	0,3058194	0,2196198	0	0	0	0
-0,2340958	0,342328	0,3212678	38,05114	15,5766	1,376739	-0,1342388	2,519028	5,950444	0	0	0	0,08469472	0,03431415	0	0	0	0
-0,2332267	0,3424139	0,3200692	38,27293	15,39993	1,378785	-2,745936	0,2615829	-6,980709	0	0,06719125	0,07242291	0	0	0	0	0	0
-0,2322586	0,3428891	0,318759	38,47376	15,30912	1,348565	-4,106292	1,188392	-17,01535	0	0,1582696	0,1820374	0	0	0	0	0	0
-0,2312802	0,3436639	0,3176765	38,65254	15,00477	1,620339	-4,79756	-0,4055949	-18,1142	0	0,1851979	0,177086	0	0	0	0	0	0
-0,2306053	0,3450121	0,3167745	38,75011	14,32653	1,64799	-3,73729	-5,839811	-16,85152	0	0,2269133	0,1101171	0	0	0	0	0	0
-0,2298597	0,3456687	0,3158539	38,95332	14,38663	2,191353	-0,7163987	-6,65262	-10,05586	0	0,1670848	0,03403239	0	0	0	0	0	0
-0,2290349	0,347112	0,3147441	39,14092	14,25334	2,327303	3,489617	-9,124562	-3,90062	0	0,1302518	0	0	0,05223942	0	0	0	0
-0,2282786	0,3485489	0,3139325	39,19592	13,91543	2,47658	6,007427	-10,14431	0,1209908	0	0,1002332	0	0	0,102653	0	0	0	0
-0,228118	0,3500183	0,3132696	39,20958	13,70294	2,769016	8,005814	-10,41437	6,196089	0	0,04218284	0	0	0,1661046	0	0	0	0
-0,2279368	0,3521437	0,3127558	39,36196	13,71256	2,87414	8,889593	-11,60865	8,461655	0	0,03146998	0	0	0,2007031	0	0	0	0
-0,2274731	0,3538636	0,3115178	39,60661	13,69587	3,007515	9,332776	-11,28436	9,784638	0	0,01499718	0	0	0,2106899	0	0	0	0
-0,2270462	0,3552822	0,3108945	39,48206	13,05812	3,195439	7,254762	-14,05085	10,8999	0	0,0315094	0	0	0,2495075	0	0	0	0
-0,2268889	0,3569175	0,3099797	39,51289	12,83998	3,316097	6,234775	-14,81478	11,80517	0	0,03009614	0	0	0,2661995	0	0	0	0
-0,2269413	0,3586403	0,3090535	39,81094	12,79711	3,253751	6,950396	-13,24592	9,800454	0	0,03445461	0	0	0,2304637	0	0	0	0
-0,2271442	0,3601046	0,3086257	39,76157	12,56226	3,385001	6,068721	-10,58562	10,42205	0	0,001635753	0	0	0,2100767	0	0	0	0
-0,2271422	0,3617412	0,308055	39,81094	12,30546	3,522743	5,145734	-12,48702	7,988325	0	0,04498699	0	0	0,2047535	0	0	0	0
-0,2271459	0,3626425	0,3074245	39,80599	12,24757	3,618537	3,99041	-12,0346	7,747387	0	0,04287213	0	0	0,1978199	0	0	0	0
-0,2277449	0,3635169	0,3066833	39,55707	12,01331	3,68867	2,166935	-11,41271	7,272527	0	0,04140185	0	0	0,1868524	0	0	0	0
-0,2282227	0,3650564	0,3070377	39,63383	11,79737	3,531537	2,545505	-11,43336	4,575113	0	0,0685825	0	0	0,1600848	0	0	0	0
-0,2284541	0,3653733	0,3069748	39,56912	11,83139	3,678879	1,242963	-11,28701	4,828422	0	0,06458589	0	0	0,1611543	0	0	0	0
-0,2286626	0,3661062	0,3071081	39,43377	11,71999	3,545712	-1,037016	-11,85528	3,229175	0	0,08626102	0	0	0,1508445	0	0	0	0
-0,2293261	0,3668247	0,3073201	39,44564	12,02244	3,594481	-0,2185587	-6,214089	2,394247	0	0,03819843	0	0	0,08608336	0	0	0	0
-0,2295371	0,3668435	0,3075067	39,49601	12,0939	3,439203	-0,101257	-4,476485	0,7386303	0	0,03737855	0	0	0,05215115	0	0	0	0
-0,2294236	0,3672569	0,3078657	39,51447	11,90138	3,674679	-1,778797	-5,37437	2,52556	0	0,02848809	0	0	0,0789993	0	0	0	0
-0,2299849	0,3670307	0,3081235	39,42261	11,84995	3,751225	-2,033726	-4,273856	2,197339	0	0,02076518	0	0	0,06471194	0	0	0	0
-0,2304093	0,3675248	0,3082569	39,4396	11,85427	3,776321	-2,228046	-2,7071	1,521465	0	0,01185636	0	0	0,04228565	0	0	0	0
-0,2308367	0,3674319	0,3087821	39,30613	11,8299	3,771819	-2,999147	-2,505977	0,9196912	0	0,01586286	0	0	0,03425668	0	0	0	0
-0,2313734	0,3680281	0,3093176	39,29452	12,04115	3,516665	-1,575299	0,1670147	-1,032028	0	0,00865013	0,01199042	0	0	0	0	0	0
-0,232094	0,3678261	0,3090376	39,22179	11,83722	3,854601	-2,472239	0,2390894	1,938384	0	0	0	0,02177473	0,01699294	0	0	0	0
-0,2329964	0,3678673	0,3090305	39,21546	11,73423	4,070009	-2,121982	-0,5829324	2,346775	0	0	0	0,01763843	0,02929708	0	0	0	0
-0,2335483	0,3680354	0,309374	39,20699	11,65601	4,069915	-1,3607	-0,3838857	3,145212	0	0	0	0,02761326	0,03529098	0	0	0	0
-0,2343197	0,3684012	0,3091873	39,21475	11,73137	3,973742	-1,385305	-1,746359	2,275563	0	0	0	0,005292039	0,04021922	0	0	0	0
-0,2347662	0,3685369	0,3089704	39,20095	11,75224	3,965741	-1,770352	-2,049959	3,159224	0	0	0	0,01109265	0,05209183	0	0	0	0
-0,2350496	0,3685159	0,3083808	39,23592	11,46437	4,277467	-1,671338	-2,622077	3,616724	0	0	0	0,009946467	0,062388	0	0	0	0
-0,2357657	0,3692859	0,3082296	39,28872	11,52606	4,119505	-0,8033279	-1,943312	2,209678	0	0	0	0,002663665	0,0415299	0	0	0	0
-0,2358091	0,3691856	0,3070778	39,24368	11,40785	4,501814	-1,175535	-2,678547	4,352952	0	0	0	0,01674405	0,07031499	0	0	0	0
-0,2362343	0,3695761	0,3062223	39,29504	11,24397	4,756658	-0,06658158	-3,515607	5,909021	0	0	0	0,02393414	0,09424628	0	0	0	0
-0,2370033	0,3705543	0,3051552	39,3616	11,48814	4,794646	0,4024422	-3,318019	7,66787	0	0	0	0,04349851	0,1098589	0	0	0	0
-0,2371369	0,3710504	0,3031132	39,52298	11,12727	5,276626	1,807133	-4,259706	8,532133	0	0	0	0,04272427	0,1279184	0	0	0	0
-0,2376299	0,3720822	0,3009968	39,52811	11,04718	5,694568	1,875889	-4,122303	9,747334	0	0	0	0,05625032	0,1386964	0	0	0	0
-0,2383747	0,3735989	0,2985791	39,60579	10,71065	5,957903	2,392817	-5,672116	11,32791	0	0	0	0,05655791	0,1700002	0	0	0	0
-0,2387704	0,374801	0,2948944	39,4897	10,36208	6,645967	1,649686	-8,215755	16,03332	0	0	0	0,07817567	0,2424908	0	0	0	0
-0,2394144	0,3757806	0,2916248	39,59579	9,770272	7,112763	2,369014	-11,89178	18,8821	0	0	0	0,06990316	0,3077387	0	0	0	0
-0,2398406	0,3763673	0,289552	39,64532	9,334617	7,453801	2,456401	-12,77848	19,05797	0	0	0	0,06279489	0,3183644	0	0	0	0
-0,2402113	0,3776862	0,2843989	39,5836	8,741947	7,921079	1,769276	-16,70466	22,8094	0	0	0	0,06104742	0,3951405	0	0	0	0
-0,2409475	0,3781731	0,2794205	39,61069	7,833829	8,676943	2,202091	-21,44407	25,05072	0	0	0	0,03606646	0,4649479	0	0	0	0
-0,2410174	0,37882	0,2740293	39,7809	7,197871	9,305057	2,915171	-24,27653	27,29034	0	0	0	0,03013805	0,5156686	0	0	0	0
-0,2409539	0,3787991	0,2683975	39,82458	6,412051	9,637462	2,777933	-30,45649	29,05684	0	0,01399651	0	0	0,5951333	0	0	0	0
-0,2407981	0,3782976	0,2622072	40,01192	5,797934	10,0638	2,933641	-31,97595	28,72299	0	0,03252965	0	0	0,6069894	0	0	0	0
-0,2404137	0,3771805	0,255988	40,18828	5,163018	10,17531	3,961044	-35,3049	26,88442	0	0,08420482	0	0	0,6218932	0	0	0	0
-0,2396311	0,3758135	0,2496247	40,32058	4,651459	10,17277	4,288756	-36,35509	25,28918	0	0,1106592	0	0	0,6164427	0	0	0	0
-0,2388986	0,3738544	0,2434813	40,49361	4,275864	9,929106	6,023426	-36,51722	19,69879	0	0,1681843	0	0	0,5621601	0	0	0	0
-0,2376513	0,3711738	0,2376178	40,6265	3,903038	9,720033	6,184261	-35,20334	15,64359	0	0,1955975	0	0	0,5084692	0	0	0	0
-0,2359679	0,3683836	0,2322222	40,6955	3,907831	9,34122	6,301082	-32,56065	11,32449	0	0,2123616	0	0	0,4388514	0	0	0	0
-0,2341869	0,3653073	0,2273958	40,66401	4,040703	8,937285	6,482447	-28,20741	6,097226	0	0,2211018	0	0	0,3430463	0	0	0	0
-0,2333935	0,3638572	0,2251458	40,66779	4,18746	8,582027	6,342578	-21,87817	-0,5694909	0	0,2244766	0	0	0,2130868	0	0	0	0
-0,2314476	0,3602867	0,2207524	40,6703	4,418819	7,779162	5,336392	-16,67428	-9,155347	0	0,2582962	0	0	0,07518929	0	0	0	0
-0,2293013	0,3561991	0,2170168	40,46575	4,249853	7,028831	3,84697	-12,97317	-15,65175	0	0,2862492	0,02678585	0	0	0	0	0	0
-0,2270935	0,3523452	0,2137063	40,48827	4,40646	6,346063	2,858088	-8,348829	-22,30638	0	0,3065521	0,1395755	0	0	0	0	0	0
-0,2239417	0,3482861	0,2107424	40,25352	4,708466	5,672059	0,3914559	-2,727305	-27,01947	0	0,2974678	0,2429217	0	0	0	0	0	0
-0,2211487	0,3440847	0,2088186	40,20716	5,233918	4,98701	-0,6805101	3,494747	-31,11453	0	0,2761978	0,3460928	0	0	0	0	0	0
-0,2177149	0,3396299	0,2074255	40,19702	5,923262	4,606454	-1,77953	9,884369	-31,93585	0	0,2205148	0,4182022	0	0	0	0	0	0
-0,2140448	0,3354566	0,2064358	40,36853	6,926558	4,411154	-1,54781	18,14108	-31,85321	0	0,1371213	0,4999429	0	0	0	0	0	0
-0,2101618	0,3314037	0,2056461	40,66788	8,018561	4,334733	-0,1657329	24,66433	-30,03887	0	0,05374536	0,547032	0	0	0	0	0	0
-0,2066807	0,3280384	0,2053145	41,04514	9,218464	4,10493	2,286777	31,0665	-28,99408	0	0	0,6006058	0,0207243	0	0	0	0	0
-0,2036539	0,3251522	0,2045936	41,82928	10,14199	4,387647	6,968935	35,72709	-25,16623	0	0	0,6089332	0,1056085	0	0	0	0	0
