X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
0,02118999	0,577594	-0,1289184	51,70761	3,222986	-0,3321452	0	0	0,03555131	0,01710408	0	0	0	0	0
0,02118078	0,5775467	-0,1288512	51,7389	3,245542	-0,315904	0	0	0,03561446	0,02215345	0	0	0	0	0
0,02111359	0,5775102	-0,1287478	51,75068	3,258148	-0,2704146	0	0	0,03528563	0,02670367	0	0	0	0	0
0,0210016	0,5775228	-0,128645	51,73757	3,269888	-0,2001679	0	0	0,03470056	0,02654621	0	0	0	0	0
0,02098639	0,577575	-0,1285249	51,68713	3,251582	-0,1339445	0	0	0,03385527	0,01954645	0	0	0	0	0
0,02091633	0,5776346	-0,1284684	51,66625	3,239624	-0,1167203	0	0	0,03356344	0,01678891	0	0	0	0	0
0,02084233	0,577675	-0,1284354	51,65964	3,243864	-0,1215059	0	0	0,0336537	0,01562028	0	0	0	0	0
0,02065111	0,5776721	-0,1284318	51,70657	3,234773	-0,1417252	0	0	0,03376498	0,02354631	0	0	0	0	0
0,02057627	0,5777287	-0,1284003	51,71302	3,211101	-0,1311199	0	0	0,03342221	0,02977397	0	0	0	0	0
0,02050271	0,5777256	-0,1283473	51,72199	3,202477	-0,1116163	0	0	0,03314093	0,03297952	0	0	0	0	0
0,02043387	0,5777036	-0,1282446	51,70503	3,216247	-0,08889146	0	0	0,03305138	0,03096365	0	0	0	0	0
0,02039308	0,5776507	-0,1281107	51,69805	3,23054	-0,08870712	0	0	0,03319247	0,02651615	0	0	0	0	0
0,02034266	0,5775546	-0,1279813	51,7154	3,268201	-0,08667657	0	0	0,03354878	0,02758232	0	0	0	0	0
0,02031427	0,5774204	-0,1278576	51,7515	3,295338	-0,0816536	0	0	0,03376992	0,03380768	0	0	0	0	0
0,02027643	0,5772686	-0,1277821	51,7919	3,304059	-0,1135235	0	0	0,03417583	0,04447735	0	0	0	0	0
0,02017763	0,5771015	-0,1277128	51,78558	3,326999	-0,1592787	0	0	0,03486278	0,04599694	0	0	0	0	0
0,02015771	0,5769588	-0,1276327	51,77958	3,343063	-0,2147334	0	0	0,03557796	0,04567536	0	0	0	0	0
0,02014528	0,5768669	-0,1275371	51,73531	3,35186	-0,2636051	0	0	0,03615465	0,03433179	0	0	0	0	0
0,02013526	0,5768311	-0,1274039	51,68795	3,336225	-0,2919983	0	0	0,03628223	0,02743385	0	0	0	0	0
0,02023876	0,5768675	-0,1272554	51,62304	3,31869	-0,2753507	0	0	0,0359404	0,01855948	0	0	0	0	0
0,02029851	0,5768872	-0,1271479	51,62513	3,303868	-0,260751	0	0	0,03564619	0,02084379	0	0	0	0	0
0,0202523	0,576922	-0,1270412	51,61706	3,30189	-0,2550164	0	0	0,03556906	0,02074951	0	0	0	0	0
0,02013407	0,57695	-0,1269358	51,59618	3,303642	-0,2114153	0	0	0,03515057	0,01661535	0	0	0	0	0
0,02001666	0,57695	-0,1269193	51,60161	3,298137	-0,161563	0	0	0,03459699	0,01337978	0	0	0	0	0
0,0198123	0,5769248	-0,1269419	51,66276	3,2724	-0,1301367	0	0	0,03402536	0,01592553	0	0	0	0	0
0,01971753	0,5769257	-0,1269697	51,68159	3,266633	-0,08931738	0	0	0,0335595	0,01929454	0	0	0	0	0
0,01968245	0,5769346	-0,1270031	51,69255	3,26729	-0,08157358	0	0	0,03348863	0,02141377	0	0	0	0	0
0,01965334	0,5769511	-0,127038	51,68779	3,272225	-0,0983634	0	0	0,03370588	0,0260358	0	0	0	0	0
0,01966126	0,5769885	-0,1271005	51,66873	3,258382	-0,1215036	0	0	0,03379885	0,02906165	0	0	0	0	0
0,01963029	0,5770317	-0,1271766	51,63755	3,238834	-0,1180672	0	0	0,03356901	0,03294899	0	0	0	0	0
0,01959391	0,5770691	-0,1272507	51,62807	3,20915	-0,1144726	0	0	0,03323623	0,03129879	0	0	0	0	0
0,01969567	0,5771816	-0,1272773	51,60157	3,19128	-0,08859558	0	0	0,03279875	0,02916786	0	0	0	0	0
0,01957589	0,5772097	-0,1273394	51,6749	3,186326	-0,1074412	0	0	0,03293767	0,04023569	0	0	0	0	0
0,01952827	0,5772772	-0,1273396	51,72385	3,190734	-0,07398558	0	0	0,0326472	0,04583649	0	0	0	0	0
0,01949181	0,5773184	-0,1273659	51,77016	3,183645	-0,02604351	0	0	0,03209689	0,04446387	0	0	0	0	0
